"Product","Price","Rating","Merchant Store"
"Iphone 12 64Gb - Grs resmi Ibox","Rp11.499.000","","Pluto sellular"
"EVERCOSS M6A (RAM 4GB / ROM 32GB)-Garansi Resmi","Rp947.000","","S-Fone"
"VIVO Y15 RAM 4/64 GARANSI RESMI VIVO INDONESIA","Rp1.799.900","","189 CELL"
"Samsung Galaxy S9 Plus 64GB Bekas Original 100% Fullset - Samsung S9+","Rp2.903.000","","YHstore889"
"VIVO X50 RAM 8/128 GB GARANSI RESMI VIVO INDONESIA","Rp4.149.900","","189 CELL"
"Samsung S20 - Garansi RESMI","Rp7.500.000","","Gesrek Phone"
"Samsung A72 8/256 [IP67] Hitam Garansi Resmi Samsung Segel BNIB","Rp5.528.030","","Diari_Shop"
"XIAOMI REDMI NOTE 4X 4/64GB","Rp860.000","","daystore_id"
"Nokia 6 Fullset Likenew","Rp1.299.000","","PhoneNgung"
"Apple IPhone Xr 128Gb Second Original","Rp4.690.000","","Halo! Store"
"SAMSUNG GALAXY A80 8/128GB RESMI SEIN","Rp4.999.000","","Tokoacoy"
"OPPO RENO 5 NFC 8/128GB Garansi Resmi","Rp3.209.899","","Exito Store10"
"Oppo reno 4 mlus like new 8/128 lengkap fullset semua harga nett yah","Rp2.600.000","","GG STORE 23"
"Realme X3 SuperZoom 12/256 garansi realme Indonesia","Rp5.149.899","","Exito Store10"
"iPhone 11 Pro Max 256GB Second","Rp9.700.000","","Modern Apple"
"Iphone 11 64gb Second ORIGINAL","Rp5.700.000","","WOSTOREofficial"
"SONY XPERIA XA DUAL SIM 16GB / NEW / SEGEL / BNIB","Rp2.050.000","","As Gadget Store"
"IPHONE X 256GB SECOND MULUS ORIGINAL MURAH","Rp4.799.000","","BBENK PHONE SHOP BATAM"
"Xiaomi Redmi 4A 2/16 GB","Rp488.000","","Fortune Ponsel"
"Nokia 105 King 2019 New Garansi Resmi Nokia","Rp240.000","","MetaCore"
"Apple Watch Series 3 38mm Silver - White Sport Band","Rp2.899.000","","iStorebdg"
"Realme C11 2021 2/32 RAM 2GB ROM 32GB Garansi Resmi Realme Indonesia","Rp1.222.000","","Vote VIP"
"xiaomi redmi 9c garansi resmi xiaomi indonesia","Rp1.460.009","","AmBoeback"
"Samsung Galaxy S20 Ultra 12/128 GB Cosmic Black - Cosmic Gray","Rp12.999.000","","tokohapedia"
"Redmi Note 11 Garansi resmi","Rp2.419.800","","cikalan ponsell"
"infinix hot 10 4/64 garansi resmi","Rp1.854.000","","galeri-hp"
"HP SAMSUNG GALAXY A70 6/128 GB -A 70 RAM 6GB INTERNAL 128GB RESMI SEIN","Rp4.200.000","","Nusantara Cellular"
"(BARU) SAMSUNG GT M370 HP LIPAT DUAL SIM KAMERA MUSIK TERLARIS","Rp395.000","","dstar_outdoor"
"hp Samsung A01 Core 1/16GB fullset mulus net","Rp775.000","","pho pho cell"
"samsung s21 ultra 12/128/256 16/512 garansi resmi","Rp14.998.000","","IDOLA COM"
"XIAOMI POCO M3 Pro 5G","Rp2.350.000","","TopCell9"
"REDMI NOTE 9 4/64 GB (NO REPACK & GARANSI RESMI XIAOMI)","Rp1.999.000","","SEVENSHOP.ID"
"OPPO FIND X 8/256 Burgundy Red SD 845 Garansi Resmi Mulus Fullset","Rp4.999.000","","Riverside"
"MITO ACE PRO LAYAR 2.4 INCH DUAL SIM MAGICVOICE ORIGINAL GARANSI RESMI","Rp145.000","","Mega Ponsel"
"Huawei Mate 20 X Second Mulus / Seken / Free MPen & Case","Rp5.300.000","","Gadget_Batam"
"Samsung Galaxy S7 Flat SEIN 4/32GB Dual Sim Fullset Ex Resmi","Rp1.690.000","","Pao Cell"
"iphone 7 original 128gb bukan rekondisi","Rp2.537.500","","java.store"
"Hape Walky Talky Zello Alps A17 Outdoor Phone IP67 Certified Zello PTT","Rp1.250.000","","CNC phoneshop"
"new oppo reno 5 8/128 grs resmi oppo","Rp3.725.000","","arena phone cell"
"Samsung M33 5G 8/128 GB Garansi Resmi SEIN","Rp3.512.000","","Gudang-HP"
